region,year,month,month_name,date,arrivals
Belgium & Luxembourg,2008,4,Apr,2008-04-01,1598
Brunei Darussalam,2008,4,Apr,2008-04-01,3409
Canada,2008,4,Apr,2008-04-01,6058
China,2008,4,Apr,2008-04-01,107639
Denmark,2008,4,Apr,2008-04-01,2454
Egypt,2008,4,Apr,2008-04-01,388
Europe,2008,4,Apr,2008-04-01,107745
Finland,2008,4,Apr,2008-04-01,982
France,2008,4,Apr,2008-04-01,9897
Germany,2008,4,Apr,2008-04-01,14169
Greater China,2008,4,Apr,2008-04-01,142790
Hong Kong SAR,2008,4,Apr,2008-04-01,20232
India,2008,4,Apr,2008-04-01,62908
Indonesia,2008,4,Apr,2008-04-01,131809
Iran,2008,4,Apr,2008-04-01,772
Israel,2008,4,Apr,2008-04-01,816
Italy,2008,4,Apr,2008-04-01,3556
Japan,2008,4,Apr,2008-04-01,36301
Kuwait,2008,4,Apr,2008-04-01,220
Malaysia,2008,4,Apr,2008-04-01,53749
Mauritius,2008,4,Apr,2008-04-01,1216
Myanmar,2008,4,Apr,2008-04-01,8873
Netherlands,2008,4,Apr,2008-04-01,5805
New Zealand,2008,4,Apr,2008-04-01,8378
North Asia,2008,4,Apr,2008-04-01,70311
Norway,2008,4,Apr,2008-04-01,2500
Oceania,2008,4,Apr,2008-04-01,72444
Other Markets In Africa,2008,4,Apr,2008-04-01,2462
Other Markets In Americas,2008,4,Apr,2008-04-01,2230
Other Markets In Europe,2008,4,Apr,2008-04-01,8587
Other Markets In Greater China,2008,4,Apr,2008-04-01,975
Other Markets In North Asia,2008,4,Apr,2008-04-01,64
Other Markets In Oceania,2008,4,Apr,2008-04-01,987
Other Markets In South Asia,2008,4,Apr,2008-04-01,2531
Other Markets In Southeast Asia,2008,4,Apr,2008-04-01,4427
Other Markets In West Asia,2008,4,Apr,2008-04-01,1140
Others,2008,4,Apr,2008-04-01,588
Pakistan,2008,4,Apr,2008-04-01,1502
Philippines,2008,4,Apr,2008-04-01,39347
Rep Of Ireland,2008,4,Apr,2008-04-01,1939
Russian Federation,2008,4,Apr,2008-04-01,4102
Saudi Arabia,2008,4,Apr,2008-04-01,719
South Africa (Rep Of),2008,4,Apr,2008-04-01,3837
South Asia,2008,4,Apr,2008-04-01,84085
South Korea,2008,4,Apr,2008-04-01,33946
Southeast Asia,2008,4,Apr,2008-04-01,296937
Spain,2008,4,Apr,2008-04-01,1970
Sri Lanka,2008,4,Apr,2008-04-01,9426
Sweden,2008,4,Apr,2008-04-01,2538
Switzerland,2008,4,Apr,2008-04-01,5993
Taiwan,2008,4,Apr,2008-04-01,13944
Thailand,2008,4,Apr,2008-04-01,36226
Total International Visitor Arrivals By Place Of Residence,2008,4,Apr,2008-04-01,829438
USA,2008,4,Apr,2008-04-01,31189
United Arab Emirates,2008,4,Apr,2008-04-01,3491
United Kingdom,2008,4,Apr,2008-04-01,41655
Vietnam,2008,4,Apr,2008-04-01,19097
West Asia,2008,4,Apr,2008-04-01,7158
Africa,2008,5,May,2008-05-01,5910
Americas,2008,5,May,2008-05-01,38871
Australia,2008,5,May,2008-05-01,65901
Bangladesh,2008,5,May,2008-05-01,8495
Belgium & Luxembourg,2008,5,May,2008-05-01,1449
Brunei Darussalam,2008,5,May,2008-05-01,3927
Canada,2008,5,May,2008-05-01,5699
China,2008,5,May,2008-05-01,86785
Denmark,2008,5,May,2008-05-01,1915
Egypt,2008,5,May,2008-05-01,295
Europe,2008,5,May,2008-05-01,85942
Finland,2008,5,May,2008-05-01,854
France,2008,5,May,2008-05-01,8451
Germany,2008,5,May,2008-05-01,11609
Greater China,2008,5,May,2008-05-01,124860
Hong Kong SAR,2008,5,May,2008-05-01,22867
India,2008,5,May,2008-05-01,103468
Indonesia,2008,5,May,2008-05-01,137243
Iran,2008,5,May,2008-05-01,634
Israel,2008,5,May,2008-05-01,828
Italy,2008,5,May,2008-05-01,2638
Japan,2008,5,May,2008-05-01,42382
Kuwait,2008,5,May,2008-05-01,157
Malaysia,2008,5,May,2008-05-01,52115
Mauritius,2008,5,May,2008-05-01,662
Myanmar,2008,5,May,2008-05-01,6199
Netherlands,2008,5,May,2008-05-01,5542
New Zealand,2008,5,May,2008-05-01,9880
North Asia,2008,5,May,2008-05-01,78866
Norway,2008,5,May,2008-05-01,1675
Oceania,2008,5,May,2008-05-01,76912
Other Markets In Africa,2008,5,May,2008-05-01,2548
Other Markets In Americas,2008,5,May,2008-05-01,2310
Other Markets In Europe,2008,5,May,2008-05-01,7494
Other Markets In Greater China,2008,5,May,2008-05-01,932
Other Markets In North Asia,2008,5,May,2008-05-01,72
Other Markets In Oceania,2008,5,May,2008-05-01,1131
Other Markets In South Asia,2008,5,May,2008-05-01,2677
Other Markets In Southeast Asia,2008,5,May,2008-05-01,2892
Other Markets In West Asia,2008,5,May,2008-05-01,954
Others,2008,5,May,2008-05-01,594
Pakistan,2008,5,May,2008-05-01,1663
