year_x,month_x,month_name_x,date,arrivals,year_y,month_y,month_name_y,Available Room Nights,Average Hotel Occupancy Rate,Average Occupancy Rate - Large,Average Occupancy Rate - Medium,Average Occupancy Rate - Small,Average Room Rate,Average Room Rate - Large,Average Room Rate - Medium,Average Room Rate - Small,Gross Lettings,Room Revenue
2008.0,1.0,Jan,2008-01-01,885290.0,2008.0,1.0,Jan,886159.0,84.2,85.1,80.9,81.1,235.9,252.2,201.1,110.0,745964.0,176098.3
,3.0,Mar,2008-03-01,910635.0,2008.0,3.0,Mar,903456.0,86.3,87.2,83.8,82.0,237.2,256.9,194.5,103.1,779884.0,187570.5
2014.0,6.0,Jun,2014-06-01,1181422.0,2014.0,6.0,Jun,1425946.0,83.5,86.0,81.0,71.6,236.4,257.5,206.3,135.5,1189990.0,281334.2
2011.0,11.0,Nov,2011-11-01,1027787.0,2011.0,11.0,Nov,,87.7,90.3,83.9,75.1,241.5,261.9,204.8,134.2,1084958.0,262033.4
2016.0,5.0,May,2016-05-01,1357543.0,2016.0,5.0,May,1556056.0,83.0,84.9,,75.8,218.3,237.7,186.0,137.2,1292030.0,282056.9
2017.0,4.0,Apr,2017-04-01,1470750.0,2017.0,4.0,Apr,,85.1,87.2,82.7,76.2,214.1,232.7,190.1,128.0,1393170.0,298252.0
2063.5530202465266,7.0,Jul,2019-07-01,1802593.0,2019.0,7.0,Jul,1837350.0,93.9,95.2,92.6,87.0,218.7,234.6,195.9,138.4,1725297.0,377573.2
,9.0,Sep,2021-09-01,19009.0,2021.0,9.0,Sep,774563.0,65.1,65.6,61.0,68.7,154.5,164.6,193.3,83.7,504266.0,77910.1
2015.0,7.0,Jul,2015-07-01,1519233.0,2015.0,7.0,Jul,1512036.0,89.9,91.9,87.2,81.9,225.7,247.3,197.6,129.6,1358614.0,306594.7
-213.21563252058615,2.0,Feb,2015-02-01,1188818.0,2015.0,2.0,Feb,1361242.0,83.7,87.2,81.2,66.3,234.3,253.7,208.1,136.2,1139015.0,268063.7
2021.0,6.0,Jun,2021-06-01,10029.0,2021.0,6.0,Jun,828799.0,54.6,,48.3,58.1,144.9,158.3,171.3,77.5,452894.0,66144.3
2020.0,9.0,Sep,2020-09-01,9500.0,2020.0,9.0,Sep,826251.0,63.1,62.3,62.4,67.5,125.7,126.1,166.7,75.0,521554.0,65589.1
2016.0,3.0,Mar,2016-03-01,1406607.0,2016.0,3.0,Mar,1566272.0,83.4,86.0,81.1,69.7,223.3,241.9,193.8,132.5,1305892.0,291642.6
